Year,UnqID,Date,Weather,Time,Day,Round,Dir,Path,Mode,Count
2022 W1 spring,ML2041,01/07/2022,n/a,21:15:00,Weekday,B,Westbound,n/a,Cycles,24
2022 W1 spring,ML2041,01/07/2022,n/a,21:30:00,Weekday,B,Westbound,n/a,Cycles,17
2022 W1 spring,ML2041,01/07/2022,n/a,21:45:00,Weekday,B,Westbound,n/a,Cycles,16
2022 W1 spring,ML2041,02/07/2022,n/a,06:00:00,Weekend,X,Eastbound,n/a,Cycles,7
2022 W1 spring,ML2041,02/07/2022,n/a,06:15:00,Weekend,X,Eastbound,n/a,Cycles,5
2022 W1 spring,ML2041,02/07/2022,n/a,06:30:00,Weekend,X,Eastbound,n/a,Cycles,6
2022 W1 spring,ML2041,02/07/2022,n/a,06:45:00,Weekend,X,Eastbound,n/a,Cycles,11
2022 W1 spring,ML2041,02/07/2022,n/a,07:00:00,Weekend,X,Eastbound,n/a,Cycles,10
2022 W1 spring,ML2041,02/07/2022,n/a,07:15:00,Weekend,X,Eastbound,n/a,Cycles,11
2022 W1 spring,ML2041,02/07/2022,n/a,07:30:00,Weekend,X,Eastbound,n/a,Cycles,7
2022 W1 spring,ML2041,02/07/2022,n/a,07:45:00,Weekend,X,Eastbound,n/a,Cycles,19
2022 W1 spring,ML2041,02/07/2022,n/a,08:00:00,Weekend,X,Eastbound,n/a,Cycles,11
2022 W1 spring,ML2041,02/07/2022,n/a,08:15:00,Weekend,X,Eastbound,n/a,Cycles,11
2022 W1 spring,ML2041,02/07/2022,n/a,08:30:00,Weekend,X,Eastbound,n/a,Cycles,20
2022 W1 spring,ML2041,02/07/2022,n/a,08:45:00,Weekend,X,Eastbound,n/a,Cycles,20
2022 W1 spring,ML2041,02/07/2022,n/a,09:00:00,Weekend,X,Eastbound,n/a,Cycles,21
2022 W1 spring,ML2041,02/07/2022,n/a,09:15:00,Weekend,X,Eastbound,n/a,Cycles,24
2022 W1 spring,ML2041,02/07/2022,n/a,09:30:00,Weekend,X,Eastbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,09:45:00,Weekend,X,Eastbound,n/a,Cycles,25
2022 W1 spring,ML2041,02/07/2022,n/a,10:00:00,Weekend,X,Eastbound,n/a,Cycles,14
2022 W1 spring,ML2041,02/07/2022,n/a,10:15:00,Weekend,X,Eastbound,n/a,Cycles,35
2022 W1 spring,ML2041,02/07/2022,n/a,10:30:00,Weekend,X,Eastbound,n/a,Cycles,16
2022 W1 spring,ML2041,02/07/2022,n/a,10:45:00,Weekend,X,Eastbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,11:00:00,Weekend,X,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2041,02/07/2022,n/a,11:15:00,Weekend,X,Eastbound,n/a,Cycles,23
2022 W1 spring,ML2041,02/07/2022,n/a,11:30:00,Weekend,X,Eastbound,n/a,Cycles,36
2022 W1 spring,ML2041,02/07/2022,n/a,11:45:00,Weekend,X,Eastbound,n/a,Cycles,42
2022 W1 spring,ML2041,02/07/2022,n/a,12:00:00,Weekend,X,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2041,02/07/2022,n/a,12:15:00,Weekend,X,Eastbound,n/a,Cycles,37
2022 W1 spring,ML2041,02/07/2022,n/a,12:30:00,Weekend,X,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2041,02/07/2022,n/a,12:45:00,Weekend,X,Eastbound,n/a,Cycles,28
2022 W1 spring,ML2041,02/07/2022,n/a,13:00:00,Weekend,X,Eastbound,n/a,Cycles,42
2022 W1 spring,ML2041,02/07/2022,n/a,13:15:00,Weekend,X,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2041,02/07/2022,n/a,13:30:00,Weekend,X,Eastbound,n/a,Cycles,41
2022 W1 spring,ML2041,02/07/2022,n/a,13:45:00,Weekend,X,Eastbound,n/a,Cycles,36
2022 W1 spring,ML2041,02/07/2022,n/a,14:00:00,Weekend,X,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2041,02/07/2022,n/a,14:15:00,Weekend,X,Eastbound,n/a,Cycles,35
2022 W1 spring,ML2041,02/07/2022,n/a,14:30:00,Weekend,X,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2041,02/07/2022,n/a,14:45:00,Weekend,X,Eastbound,n/a,Cycles,35
2022 W1 spring,ML2041,02/07/2022,n/a,15:00:00,Weekend,X,Eastbound,n/a,Cycles,34
2022 W1 spring,ML2041,02/07/2022,n/a,15:15:00,Weekend,X,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2041,02/07/2022,n/a,15:30:00,Weekend,X,Eastbound,n/a,Cycles,29
2022 W1 spring,ML2041,02/07/2022,n/a,15:45:00,Weekend,X,Eastbound,n/a,Cycles,41
2022 W1 spring,ML2041,02/07/2022,n/a,16:00:00,Weekend,X,Eastbound,n/a,Cycles,36
2022 W1 spring,ML2041,02/07/2022,n/a,16:15:00,Weekend,X,Eastbound,n/a,Cycles,44
2022 W1 spring,ML2041,02/07/2022,n/a,16:30:00,Weekend,X,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2041,02/07/2022,n/a,16:45:00,Weekend,X,Eastbound,n/a,Cycles,27
2022 W1 spring,ML2041,02/07/2022,n/a,17:00:00,Weekend,X,Eastbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,17:15:00,Weekend,X,Eastbound,n/a,Cycles,30
2022 W1 spring,ML2041,02/07/2022,n/a,17:30:00,Weekend,X,Eastbound,n/a,Cycles,39
2022 W1 spring,ML2041,02/07/2022,n/a,17:45:00,Weekend,X,Eastbound,n/a,Cycles,39
2022 W1 spring,ML2041,02/07/2022,n/a,18:00:00,Weekend,X,Eastbound,n/a,Cycles,34
2022 W1 spring,ML2041,02/07/2022,n/a,18:15:00,Weekend,X,Eastbound,n/a,Cycles,37
2022 W1 spring,ML2041,02/07/2022,n/a,18:30:00,Weekend,X,Eastbound,n/a,Cycles,35
2022 W1 spring,ML2041,02/07/2022,n/a,18:45:00,Weekend,X,Eastbound,n/a,Cycles,42
2022 W1 spring,ML2041,02/07/2022,n/a,19:00:00,Weekend,X,Eastbound,n/a,Cycles,39
2022 W1 spring,ML2041,02/07/2022,n/a,19:15:00,Weekend,X,Eastbound,n/a,Cycles,24
2022 W1 spring,ML2041,02/07/2022,n/a,19:30:00,Weekend,X,Eastbound,n/a,Cycles,17
2022 W1 spring,ML2041,02/07/2022,n/a,19:45:00,Weekend,X,Eastbound,n/a,Cycles,16
2022 W1 spring,ML2041,02/07/2022,n/a,20:00:00,Weekend,X,Eastbound,n/a,Cycles,31
2022 W1 spring,ML2041,02/07/2022,n/a,20:15:00,Weekend,X,Eastbound,n/a,Cycles,18
2022 W1 spring,ML2041,02/07/2022,n/a,20:30:00,Weekend,X,Eastbound,n/a,Cycles,18
2022 W1 spring,ML2041,02/07/2022,n/a,20:45:00,Weekend,X,Eastbound,n/a,Cycles,39
2022 W1 spring,ML2041,02/07/2022,n/a,21:00:00,Weekend,X,Eastbound,n/a,Cycles,28
2022 W1 spring,ML2041,02/07/2022,n/a,21:15:00,Weekend,X,Eastbound,n/a,Cycles,18
2022 W1 spring,ML2041,02/07/2022,n/a,21:30:00,Weekend,X,Eastbound,n/a,Cycles,17
2022 W1 spring,ML2041,02/07/2022,n/a,21:45:00,Weekend,X,Eastbound,n/a,Cycles,9
2022 W1 spring,ML2041,02/07/2022,n/a,06:00:00,Weekend,X,Westbound,n/a,Cycles,9
2022 W1 spring,ML2041,02/07/2022,n/a,06:15:00,Weekend,X,Westbound,n/a,Cycles,10
2022 W1 spring,ML2041,02/07/2022,n/a,06:30:00,Weekend,X,Westbound,n/a,Cycles,12
2022 W1 spring,ML2041,02/07/2022,n/a,06:45:00,Weekend,X,Westbound,n/a,Cycles,19
2022 W1 spring,ML2041,02/07/2022,n/a,07:00:00,Weekend,X,Westbound,n/a,Cycles,14
2022 W1 spring,ML2041,02/07/2022,n/a,07:15:00,Weekend,X,Westbound,n/a,Cycles,23
2022 W1 spring,ML2041,02/07/2022,n/a,07:30:00,Weekend,X,Westbound,n/a,Cycles,31
2022 W1 spring,ML2041,02/07/2022,n/a,07:45:00,Weekend,X,Westbound,n/a,Cycles,24
2022 W1 spring,ML2041,02/07/2022,n/a,08:00:00,Weekend,X,Westbound,n/a,Cycles,27
2022 W1 spring,ML2041,02/07/2022,n/a,08:15:00,Weekend,X,Westbound,n/a,Cycles,34
2022 W1 spring,ML2041,02/07/2022,n/a,08:30:00,Weekend,X,Westbound,n/a,Cycles,32
2022 W1 spring,ML2041,02/07/2022,n/a,08:45:00,Weekend,X,Westbound,n/a,Cycles,29
2022 W1 spring,ML2041,02/07/2022,n/a,09:00:00,Weekend,X,Westbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,09:15:00,Weekend,X,Westbound,n/a,Cycles,22
2022 W1 spring,ML2041,02/07/2022,n/a,09:30:00,Weekend,X,Westbound,n/a,Cycles,23
2022 W1 spring,ML2041,02/07/2022,n/a,09:45:00,Weekend,X,Westbound,n/a,Cycles,28
2022 W1 spring,ML2041,02/07/2022,n/a,10:00:00,Weekend,X,Westbound,n/a,Cycles,40
2022 W1 spring,ML2041,02/07/2022,n/a,10:15:00,Weekend,X,Westbound,n/a,Cycles,27
2022 W1 spring,ML2041,02/07/2022,n/a,10:30:00,Weekend,X,Westbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,10:45:00,Weekend,X,Westbound,n/a,Cycles,27
2022 W1 spring,ML2041,02/07/2022,n/a,11:00:00,Weekend,X,Westbound,n/a,Cycles,39
2022 W1 spring,ML2041,02/07/2022,n/a,11:15:00,Weekend,X,Westbound,n/a,Cycles,55
2022 W1 spring,ML2041,02/07/2022,n/a,11:30:00,Weekend,X,Westbound,n/a,Cycles,43
2022 W1 spring,ML2041,02/07/2022,n/a,11:45:00,Weekend,X,Westbound,n/a,Cycles,49
2022 W1 spring,ML2041,02/07/2022,n/a,12:00:00,Weekend,X,Westbound,n/a,Cycles,48
2022 W1 spring,ML2041,02/07/2022,n/a,12:15:00,Weekend,X,Westbound,n/a,Cycles,51
2022 W1 spring,ML2041,02/07/2022,n/a,12:30:00,Weekend,X,Westbound,n/a,Cycles,46
2022 W1 spring,ML2041,02/07/2022,n/a,12:45:00,Weekend,X,Westbound,n/a,Cycles,50
2022 W1 spring,ML2041,02/07/2022,n/a,13:00:00,Weekend,X,Westbound,n/a,Cycles,51
2022 W1 spring,ML2041,02/07/2022,n/a,13:15:00,Weekend,X,Westbound,n/a,Cycles,43
2022 W1 spring,ML2041,02/07/2022,n/a,13:30:00,Weekend,X,Westbound,n/a,Cycles,39
2022 W1 spring,ML2041,02/07/2022,n/a,13:45:00,Weekend,X,Westbound,n/a,Cycles,54
2022 W1 spring,ML2041,02/07/2022,n/a,14:00:00,Weekend,X,Westbound,n/a,Cycles,33
2022 W1 spring,ML2041,02/07/2022,n/a,14:15:00,Weekend,X,Westbound,n/a,Cycles,43
2022 W1 spring,ML2041,02/07/2022,n/a,14:30:00,Weekend,X,Westbound,n/a,Cycles,47
2022 W1 spring,ML2041,02/07/2022,n/a,14:45:00,Weekend,X,Westbound,n/a,Cycles,36
2022 W1 spring,ML2041,02/07/2022,n/a,15:00:00,Weekend,X,Westbound,n/a,Cycles,37
2022 W1 spring,ML2041,02/07/2022,n/a,15:15:00,Weekend,X,Westbound,n/a,Cycles,51
2022 W1 spring,ML2041,02/07/2022,n/a,15:30:00,Weekend,X,Westbound,n/a,Cycles,41
2022 W1 spring,ML2041,02/07/2022,n/a,15:45:00,Weekend,X,Westbound,n/a,Cycles,52
2022 W1 spring,ML2041,02/07/2022,n/a,16:00:00,Weekend,X,Westbound,n/a,Cycles,50
2022 W1 spring,ML2041,02/07/2022,n/a,16:15:00,Weekend,X,Westbound,n/a,Cycles,30
2022 W1 spring,ML2041,02/07/2022,n/a,16:30:00,Weekend,X,Westbound,n/a,Cycles,28
2022 W1 spring,ML2041,02/07/2022,n/a,16:45:00,Weekend,X,Westbound,n/a,Cycles,42
2022 W1 spring,ML2041,02/07/2022,n/a,17:00:00,Weekend,X,Westbound,n/a,Cycles,40
2022 W1 spring,ML2041,02/07/2022,n/a,17:15:00,Weekend,X,Westbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,17:30:00,Weekend,X,Westbound,n/a,Cycles,31
2022 W1 spring,ML2041,02/07/2022,n/a,17:45:00,Weekend,X,Westbound,n/a,Cycles,34
2022 W1 spring,ML2041,02/07/2022,n/a,18:00:00,Weekend,X,Westbound,n/a,Cycles,42
2022 W1 spring,ML2041,02/07/2022,n/a,18:15:00,Weekend,X,Westbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,18:30:00,Weekend,X,Westbound,n/a,Cycles,35
2022 W1 spring,ML2041,02/07/2022,n/a,18:45:00,Weekend,X,Westbound,n/a,Cycles,42
2022 W1 spring,ML2041,02/07/2022,n/a,19:00:00,Weekend,X,Westbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,19:15:00,Weekend,X,Westbound,n/a,Cycles,28
2022 W1 spring,ML2041,02/07/2022,n/a,19:30:00,Weekend,X,Westbound,n/a,Cycles,39
2022 W1 spring,ML2041,02/07/2022,n/a,19:45:00,Weekend,X,Westbound,n/a,Cycles,36
2022 W1 spring,ML2041,02/07/2022,n/a,20:00:00,Weekend,X,Westbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,20:15:00,Weekend,X,Westbound,n/a,Cycles,26
2022 W1 spring,ML2041,02/07/2022,n/a,20:30:00,Weekend,X,Westbound,n/a,Cycles,29
2022 W1 spring,ML2041,02/07/2022,n/a,20:45:00,Weekend,X,Westbound,n/a,Cycles,14
2022 W1 spring,ML2041,02/07/2022,n/a,21:00:00,Weekend,X,Westbound,n/a,Cycles,23
2022 W1 spring,ML2041,02/07/2022,n/a,21:15:00,Weekend,X,Westbound,n/a,Cycles,22
2022 W1 spring,ML2041,02/07/2022,n/a,21:30:00,Weekend,X,Westbound,n/a,Cycles,18
2022 W1 spring,ML2041,02/07/2022,n/a,21:45:00,Weekend,X,Westbound,n/a,Cycles,10
2022 W1 spring,ML2048,27/06/2022,n/a,06:00:00,Weekday,A,Eastbound,n/a,Cycles,21
2022 W1 spring,ML2048,27/06/2022,n/a,06:15:00,Weekday,A,Eastbound,n/a,Cycles,32
2022 W1 spring,ML2048,27/06/2022,n/a,06:30:00,Weekday,A,Eastbound,n/a,Cycles,55
2022 W1 spring,ML2048,27/06/2022,n/a,06:45:00,Weekday,A,Eastbound,n/a,Cycles,74
2022 W1 spring,ML2048,27/06/2022,n/a,07:00:00,Weekday,A,Eastbound,n/a,Cycles,95
2022 W1 spring,ML2048,27/06/2022,n/a,07:15:00,Weekday,A,Eastbound,n/a,Cycles,164
2022 W1 spring,ML2048,27/06/2022,n/a,07:30:00,Weekday,A,Eastbound,n/a,Cycles,155
2022 W1 spring,ML2048,27/06/2022,n/a,07:45:00,Weekday,A,Eastbound,n/a,Cycles,186
2022 W1 spring,ML2048,27/06/2022,n/a,08:00:00,Weekday,A,Eastbound,n/a,Cycles,195
2022 W1 spring,ML2048,27/06/2022,n/a,08:15:00,Weekday,A,Eastbound,n/a,Cycles,191
2022 W1 spring,ML2048,27/06/2022,n/a,08:30:00,Weekday,A,Eastbound,n/a,Cycles,189
2022 W1 spring,ML2048,27/06/2022,n/a,08:45:00,Weekday,A,Eastbound,n/a,Cycles,156
2022 W1 spring,ML2048,27/06/2022,n/a,09:00:00,Weekday,A,Eastbound,n/a,Cycles,90
2022 W1 spring,ML2048,27/06/2022,n/a,09:15:00,Weekday,A,Eastbound,n/a,Cycles,76
2022 W1 spring,ML2048,27/06/2022,n/a,09:30:00,Weekday,A,Eastbound,n/a,Cycles,56
2022 W1 spring,ML2048,27/06/2022,n/a,09:45:00,Weekday,A,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2048,27/06/2022,n/a,10:00:00,Weekday,A,Eastbound,n/a,Cycles,28
2022 W1 spring,ML2048,27/06/2022,n/a,10:15:00,Weekday,A,Eastbound,n/a,Cycles,24
2022 W1 spring,ML2048,27/06/2022,n/a,10:30:00,Weekday,A,Eastbound,n/a,Cycles,21
2022 W1 spring,ML2048,27/06/2022,n/a,10:45:00,Weekday,A,Eastbound,n/a,Cycles,14
2022 W1 spring,ML2048,27/06/2022,n/a,11:00:00,Weekday,A,Eastbound,n/a,Cycles,14
2022 W1 spring,ML2048,27/06/2022,n/a,11:15:00,Weekday,A,Eastbound,n/a,Cycles,13
2022 W1 spring,ML2048,27/06/2022,n/a,11:30:00,Weekday,A,Eastbound,n/a,Cycles,9
2022 W1 spring,ML2048,27/06/2022,n/a,11:45:00,Weekday,A,Eastbound,n/a,Cycles,11
2022 W1 spring,ML2048,27/06/2022,n/a,12:00:00,Weekday,A,Eastbound,n/a,Cycles,12
2022 W1 spring,ML2048,27/06/2022,n/a,12:15:00,Weekday,A,Eastbound,n/a,Cycles,10
2022 W1 spring,ML2048,27/06/2022,n/a,12:30:00,Weekday,A,Eastbound,n/a,Cycles,8
2022 W1 spring,ML2048,27/06/2022,n/a,12:45:00,Weekday,A,Eastbound,n/a,Cycles,20
2022 W1 spring,ML2048,27/06/2022,n/a,13:00:00,Weekday,A,Eastbound,n/a,Cycles,19
2022 W1 spring,ML2048,27/06/2022,n/a,13:15:00,Weekday,A,Eastbound,n/a,Cycles,12
2022 W1 spring,ML2048,27/06/2022,n/a,13:30:00,Weekday,A,Eastbound,n/a,Cycles,12
2022 W1 spring,ML2048,27/06/2022,n/a,13:45:00,Weekday,A,Eastbound,n/a,Cycles,13
2022 W1 spring,ML2048,27/06/2022,n/a,14:00:00,Weekday,A,Eastbound,n/a,Cycles,20
2022 W1 spring,ML2048,27/06/2022,n/a,14:15:00,Weekday,A,Eastbound,n/a,Cycles,25
2022 W1 spring,ML2048,27/06/2022,n/a,14:30:00,Weekday,A,Eastbound,n/a,Cycles,15
2022 W1 spring,ML2048,27/06/2022,n/a,14:45:00,Weekday,A,Eastbound,n/a,Cycles,9
2022 W1 spring,ML2048,27/06/2022,n/a,15:00:00,Weekday,A,Eastbound,n/a,Cycles,6
2022 W1 spring,ML2048,27/06/2022,n/a,15:15:00,Weekday,A,Eastbound,n/a,Cycles,10
2022 W1 spring,ML2048,27/06/2022,n/a,15:30:00,Weekday,A,Eastbound,n/a,Cycles,22
2022 W1 spring,ML2048,27/06/2022,n/a,15:45:00,Weekday,A,Eastbound,n/a,Cycles,18
2022 W1 spring,ML2048,27/06/2022,n/a,16:00:00,Weekday,A,Eastbound,n/a,Cycles,30
2022 W1 spring,ML2048,27/06/2022,n/a,16:15:00,Weekday,A,Eastbound,n/a,Cycles,35
2022 W1 spring,ML2048,27/06/2022,n/a,16:30:00,Weekday,A,Eastbound,n/a,Cycles,32
2022 W1 spring,ML2048,27/06/2022,n/a,16:45:00,Weekday,A,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2048,27/06/2022,n/a,17:00:00,Weekday,A,Eastbound,n/a,Cycles,51
2022 W1 spring,ML2048,27/06/2022,n/a,17:15:00,Weekday,A,Eastbound,n/a,Cycles,50
2022 W1 spring,ML2048,27/06/2022,n/a,17:30:00,Weekday,A,Eastbound,n/a,Cycles,48
2022 W1 spring,ML2048,27/06/2022,n/a,17:45:00,Weekday,A,Eastbound,n/a,Cycles,55
2022 W1 spring,ML2048,27/06/2022,n/a,18:00:00,Weekday,A,Eastbound,n/a,Cycles,50
2022 W1 spring,ML2048,27/06/2022,n/a,18:15:00,Weekday,A,Eastbound,n/a,Cycles,63
2022 W1 spring,ML2048,27/06/2022,n/a,18:30:00,Weekday,A,Eastbound,n/a,Cycles,68
2022 W1 spring,ML2048,27/06/2022,n/a,18:45:00,Weekday,A,Eastbound,n/a,Cycles,48
2022 W1 spring,ML2048,27/06/2022,n/a,19:00:00,Weekday,A,Eastbound,n/a,Cycles,42
2022 W1 spring,ML2048,27/06/2022,n/a,19:15:00,Weekday,A,Eastbound,n/a,Cycles,30
2022 W1 spring,ML2048,27/06/2022,n/a,19:30:00,Weekday,A,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2048,27/06/2022,n/a,19:45:00,Weekday,A,Eastbound,n/a,Cycles,18
2022 W1 spring,ML2048,27/06/2022,n/a,20:00:00,Weekday,A,Eastbound,n/a,Cycles,21
2022 W1 spring,ML2048,27/06/2022,n/a,20:15:00,Weekday,A,Eastbound,n/a,Cycles,25
2022 W1 spring,ML2048,27/06/2022,n/a,20:30:00,Weekday,A,Eastbound,n/a,Cycles,19
2022 W1 spring,ML2048,27/06/2022,n/a,20:45:00,Weekday,A,Eastbound,n/a,Cycles,18
2022 W1 spring,ML2048,27/06/2022,n/a,21:00:00,Weekday,A,Eastbound,n/a,Cycles,18
2022 W1 spring,ML2048,27/06/2022,n/a,21:15:00,Weekday,A,Eastbound,n/a,Cycles,24
2022 W1 spring,ML2048,27/06/2022,n/a,21:30:00,Weekday,A,Eastbound,n/a,Cycles,15
2022 W1 spring,ML2048,27/06/2022,n/a,21:45:00,Weekday,A,Eastbound,n/a,Cycles,13
2022 W1 spring,ML2048,27/06/2022,n/a,06:00:00,Weekday,A,Westbound,n/a,Cycles,4
2022 W1 spring,ML2048,27/06/2022,n/a,06:15:00,Weekday,A,Westbound,n/a,Cycles,13
2022 W1 spring,ML2048,27/06/2022,n/a,06:30:00,Weekday,A,Westbound,n/a,Cycles,13
2022 W1 spring,ML2048,27/06/2022,n/a,06:45:00,Weekday,A,Westbound,n/a,Cycles,21
2022 W1 spring,ML2048,27/06/2022,n/a,07:00:00,Weekday,A,Westbound,n/a,Cycles,33
2022 W1 spring,ML2048,27/06/2022,n/a,07:15:00,Weekday,A,Westbound,n/a,Cycles,37
2022 W1 spring,ML2048,27/06/2022,n/a,07:30:00,Weekday,A,Westbound,n/a,Cycles,35
2022 W1 spring,ML2048,27/06/2022,n/a,07:45:00,Weekday,A,Westbound,n/a,Cycles,48
2022 W1 spring,ML2048,27/06/2022,n/a,08:00:00,Weekday,A,Westbound,n/a,Cycles,30
2022 W1 spring,ML2048,27/06/2022,n/a,08:15:00,Weekday,A,Westbound,n/a,Cycles,40
2022 W1 spring,ML2048,27/06/2022,n/a,08:30:00,Weekday,A,Westbound,n/a,Cycles,49
2022 W1 spring,ML2048,27/06/2022,n/a,08:45:00,Weekday,A,Westbound,n/a,Cycles,38
2022 W1 spring,ML2048,27/06/2022,n/a,09:00:00,Weekday,A,Westbound,n/a,Cycles,27
2022 W1 spring,ML2048,27/06/2022,n/a,09:15:00,Weekday,A,Westbound,n/a,Cycles,25
2022 W1 spring,ML2048,27/06/2022,n/a,09:30:00,Weekday,A,Westbound,n/a,Cycles,17
2022 W1 spring,ML2048,27/06/2022,n/a,09:45:00,Weekday,A,Westbound,n/a,Cycles,13
2022 W1 spring,ML2048,27/06/2022,n/a,10:00:00,Weekday,A,Westbound,n/a,Cycles,7
2022 W1 spring,ML2048,27/06/2022,n/a,10:15:00,Weekday,A,Westbound,n/a,Cycles,8
2022 W1 spring,ML2048,27/06/2022,n/a,10:30:00,Weekday,A,Westbound,n/a,Cycles,14
2022 W1 spring,ML2048,27/06/2022,n/a,10:45:00,Weekday,A,Westbound,n/a,Cycles,8
2022 W1 spring,ML2048,27/06/2022,n/a,11:00:00,Weekday,A,Westbound,n/a,Cycles,17
2022 W1 spring,ML2048,27/06/2022,n/a,11:15:00,Weekday,A,Westbound,n/a,Cycles,10
2022 W1 spring,ML2048,27/06/2022,n/a,11:30:00,Weekday,A,Westbound,n/a,Cycles,18
2022 W1 spring,ML2048,27/06/2022,n/a,11:45:00,Weekday,A,Westbound,n/a,Cycles,3
2022 W1 spring,ML2048,27/06/2022,n/a,12:00:00,Weekday,A,Westbound,n/a,Cycles,6
2022 W1 spring,ML2048,27/06/2022,n/a,12:15:00,Weekday,A,Westbound,n/a,Cycles,11
2022 W1 spring,ML2048,27/06/2022,n/a,12:30:00,Weekday,A,Westbound,n/a,Cycles,7
2022 W1 spring,ML2048,27/06/2022,n/a,12:45:00,Weekday,A,Westbound,n/a,Cycles,9
2022 W1 spring,ML2048,27/06/2022,n/a,13:00:00,Weekday,A,Westbound,n/a,Cycles,7
2022 W1 spring,ML2048,27/06/2022,n/a,13:15:00,Weekday,A,Westbound,n/a,Cycles,7
2022 W1 spring,ML2048,27/06/2022,n/a,13:30:00,Weekday,A,Westbound,n/a,Cycles,5
2022 W1 spring,ML2048,27/06/2022,n/a,13:45:00,Weekday,A,Westbound,n/a,Cycles,8
2022 W1 spring,ML2048,27/06/2022,n/a,14:00:00,Weekday,A,Westbound,n/a,Cycles,4
2022 W1 spring,ML2048,27/06/2022,n/a,14:15:00,Weekday,A,Westbound,n/a,Cycles,12
2022 W1 spring,ML2048,27/06/2022,n/a,14:30:00,Weekday,A,Westbound,n/a,Cycles,9
2022 W1 spring,ML2048,27/06/2022,n/a,14:45:00,Weekday,A,Westbound,n/a,Cycles,15
2022 W1 spring,ML2048,27/06/2022,n/a,15:00:00,Weekday,A,Westbound,n/a,Cycles,4
2022 W1 spring,ML2048,27/06/2022,n/a,15:15:00,Weekday,A,Westbound,n/a,Cycles,4
2022 W1 spring,ML2048,27/06/2022,n/a,15:30:00,Weekday,A,Westbound,n/a,Cycles,9
2022 W1 spring,ML2048,27/06/2022,n/a,15:45:00,Weekday,A,Westbound,n/a,Cycles,16
2022 W1 spring,ML2048,27/06/2022,n/a,16:00:00,Weekday,A,Westbound,n/a,Cycles,18
2022 W1 spring,ML2048,27/06/2022,n/a,16:15:00,Weekday,A,Westbound,n/a,Cycles,24
2022 W1 spring,ML2048,27/06/2022,n/a,16:30:00,Weekday,A,Westbound,n/a,Cycles,37
2022 W1 spring,ML2048,27/06/2022,n/a,16:45:00,Weekday,A,Westbound,n/a,Cycles,47
2022 W1 spring,ML2048,27/06/2022,n/a,17:00:00,Weekday,A,Westbound,n/a,Cycles,64
2022 W1 spring,ML2048,27/06/2022,n/a,17:15:00,Weekday,A,Westbound,n/a,Cycles,112
2022 W1 spring,ML2048,27/06/2022,n/a,17:30:00,Weekday,A,Westbound,n/a,Cycles,125
2022 W1 spring,ML2048,27/06/2022,n/a,17:45:00,Weekday,A,Westbound,n/a,Cycles,145
2022 W1 spring,ML2048,27/06/2022,n/a,18:00:00,Weekday,A,Westbound,n/a,Cycles,201
2022 W1 spring,ML2048,27/06/2022,n/a,18:15:00,Weekday,A,Westbound,n/a,Cycles,158
2022 W1 spring,ML2048,27/06/2022,n/a,18:30:00,Weekday,A,Westbound,n/a,Cycles,228
2022 W1 spring,ML2048,27/06/2022,n/a,18:45:00,Weekday,A,Westbound,n/a,Cycles,179
2022 W1 spring,ML2048,27/06/2022,n/a,19:00:00,Weekday,A,Westbound,n/a,Cycles,117
2022 W1 spring,ML2048,27/06/2022,n/a,19:15:00,Weekday,A,Westbound,n/a,Cycles,119
2022 W1 spring,ML2048,27/06/2022,n/a,19:30:00,Weekday,A,Westbound,n/a,Cycles,83
2022 W1 spring,ML2048,27/06/2022,n/a,19:45:00,Weekday,A,Westbound,n/a,Cycles,71
2022 W1 spring,ML2048,27/06/2022,n/a,20:00:00,Weekday,A,Westbound,n/a,Cycles,62
2022 W1 spring,ML2048,27/06/2022,n/a,20:15:00,Weekday,A,Westbound,n/a,Cycles,34
2022 W1 spring,ML2048,27/06/2022,n/a,20:30:00,Weekday,A,Westbound,n/a,Cycles,39
2022 W1 spring,ML2048,27/06/2022,n/a,20:45:00,Weekday,A,Westbound,n/a,Cycles,29
2022 W1 spring,ML2048,27/06/2022,n/a,21:00:00,Weekday,A,Westbound,n/a,Cycles,20
